exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,201,1,1,1,0,1,[0 2 1 3],1,2.2360322999957134,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[1 3 2 0],1,1.2785074000057648,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[1 0 2 3],1,1.3163970000023255,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[3 0 2 1],1,0.9747252999950433,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,3,0,0,[3 0 2 1],0,2.413926699999138,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[0 2 1 3],1,1.4109141000008094,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[2 0 1 3],1,0.7721690000034869,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[0 3 2 1],1,1.1598379999995814,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 0 3 2],1,1.015191300000879,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,2,0,0,[1 2 3 0],0,1.7396278999949573,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[1 2 0 3],0,1.149967999997898,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[0 3 1 2],1,1.4698052000021562,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,1,0,0,[3 0 1 2],0,1.203992599999765,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[2 0 3 1],1,1.843289200005529,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[3 2 1 0],1,1.170701499999268,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,3,0,0,[2 3 0 1],0,1.423472499998752,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,4,0,0,[0 1 3 2],0,1.387681000000157,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[0 3 2 1],0,2.2077072999964003,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[1 2 3 0],0,2.4870424999971874,21,Female,[1 3 0 2],[3 1 2 0]
