exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,403,2,3,1,0,0,[3 0 2 1],1,1.1277812000007543,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[0 1 3 2],1,2.5991534999993746,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[0 1 3 2],1,1.0567831000007573,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[2 1 0 3],1,4.4816232999983185,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[1 2 0 3],1,1.2810599000004004,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[2 0 1 3],1,1.255994200000714,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[0 3 2 1],0,2.5752924000007624,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[2 0 3 1],1,2.7023431999987224,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[1 2 3 0],1,1.0954445000024862,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[2 1 0 3],1,2.5596029000007547,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,1,3,0,0,[1 2 0 3],1,1.0813626000017393,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,3,1,0,0,[2 3 1 0],1,3.1291139000022667,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,4,1,0,0,[0 3 2 1],0,1.319745699998748,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,2,3,0,0,[1 3 0 2],0,1.8703058999999485,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,2,3,0,0,[2 0 1 3],1,1.1936714000003121,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,3,1,0,0,[1 3 0 2],1,3.0691353999973217,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,4,1,0,0,[0 1 3 2],1,1.5122445999986667,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,3,1,3,0,0,[0 2 3 1],1,3.6896641999992426,29,Female,[2 3 1 0],[0 2 1 3]
